Borough,Census Tract,Population
Brooklyn,102400,2044
Brooklyn,102600,2775
Brooklyn,102800,1772
Brooklyn,103400,3899
Brooklyn,105801,7858
Brooklyn,105804,6763
Brooklyn,107000,294
Brooklyn,107800,4428
Brooklyn,109800,1488
Brooklyn,110400,4018
Brooklyn,110600,4277
Brooklyn,111000,3508
Brooklyn,111600,2315
Brooklyn,111800,2623
Brooklyn,112000,3142
Brooklyn,112200,2914
Brooklyn,112400,3253
Brooklyn,112600,3626
Brooklyn,112800,3937
Brooklyn,113000,3544
Brooklyn,113200,1387
Brooklyn,113400,2998
Brooklyn,114201,1736
Brooklyn,114202,2508
Brooklyn,114400,2213
Brooklyn,114600,3036
Brooklyn,115000,1763
Brooklyn,115200,2525
Brooklyn,115600,4076
Brooklyn,115800,2929
Brooklyn,116000,2604
Brooklyn,116200,2290
Brooklyn,116400,2766
Brooklyn,116600,2599
Brooklyn,116800,1957
Brooklyn,117000,1837
Brooklyn,117201,2914
Brooklyn,117202,4287
Brooklyn,117400,4268
Brooklyn,117601,2664
Brooklyn,117602,3173
Brooklyn,117800,1715
Brooklyn,118000,0
Brooklyn,118201,2902
Brooklyn,118202,3057
Brooklyn,118400,5106
Brooklyn,118600,3133
Brooklyn,118800,4560
Brooklyn,119000,1986
Brooklyn,119200,2400
Brooklyn,119400,3371
Brooklyn,119600,4972
Brooklyn,119800,3190
Brooklyn,120000,2247
Brooklyn,120200,1916
Brooklyn,120800,8483
Brooklyn,121000,3986
Brooklyn,121400,4384
Brooklyn,122000,2555
Brooklyn,123700,1838
Brooklyn,150200,2237
Brooklyn,152200,3407
Brooklyn,990100,0
Manhattan,100,0
Manhattan,201,3329
Manhattan,202,6837
Manhattan,500,2
Manhattan,600,12276
Manhattan,700,907
Manhattan,800,10917
Manhattan,900,1124
Manhattan,1001,1361
Manhattan,1002,6733
Manhattan,1200,3466
Manhattan,1300,1607
Manhattan,1401,2962
Manhattan,1402,3019
Manhattan,1501,4562
Manhattan,1502,3937
Manhattan,1600,9598
Manhattan,1800,10157
Manhattan,2000,5174
Manhattan,2100,2407
Manhattan,2201,6646
Manhattan,2202,1556
Manhattan,2400,5080
Manhattan,2500,5209
Manhattan,2601,3400
Manhattan,2602,3718
Manhattan,2700,1517
Manhattan,2800,6701
Manhattan,2900,7422
Manhattan,3001,4275
