Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Brooklyn,2000,047,3,031400,4508
Brooklyn,2000,047,3,031500,5371
Brooklyn,2000,047,3,031701,3673
Brooklyn,2000,047,3,031702,3579
Brooklyn,2000,047,3,031900,3850
Brooklyn,2000,047,3,032100,5612
Brooklyn,2000,047,3,032300,3763
Brooklyn,2000,047,3,032500,6641
Brooklyn,2000,047,3,032600,7247
Brooklyn,2000,047,3,032700,3868
Brooklyn,2000,047,3,032800,3304
Brooklyn,2000,047,3,032900,5856
Brooklyn,2000,047,3,033000,5288
Brooklyn,2000,047,3,033100,4725
Brooklyn,2000,047,3,033300,4491
Brooklyn,2000,047,3,033500,3120
Brooklyn,2000,047,3,033600,5159
Brooklyn,2000,047,3,033700,4541
Brooklyn,2000,047,3,033900,4541
Brooklyn,2000,047,3,034000,2511
Brooklyn,2000,047,3,034100,2779
Brooklyn,2000,047,3,034200,7462
Brooklyn,2000,047,3,034300,5434
Brooklyn,2000,047,3,034500,2529
Brooklyn,2000,047,3,034700,3140
Brooklyn,2000,047,3,034800,2029
Brooklyn,2000,047,3,034900,5572
Brooklyn,2000,047,3,035000,3584
Brooklyn,2000,047,3,035100,5052
Brooklyn,2000,047,3,035200,1267
Brooklyn,2000,047,3,035300,5558
Brooklyn,2000,047,3,035400,5622
Brooklyn,2000,047,3,035500,5433
Brooklyn,2000,047,3,035601,2931
Brooklyn,2000,047,3,035602,5233
Brooklyn,2000,047,3,035700,2295
Brooklyn,2000,047,3,035900,5257
Brooklyn,2000,047,3,036001,3475
Brooklyn,2000,047,3,036002,4230
Brooklyn,2000,047,3,036100,2533
Brooklyn,2000,047,3,036200,5084
Brooklyn,2000,047,3,036300,3664
Brooklyn,2000,047,3,036400,2641
Brooklyn,2000,047,3,036501,2349
Brooklyn,2000,047,3,036502,996
Brooklyn,2000,047,3,036600,4449
Brooklyn,2000,047,3,036700,1373
Brooklyn,2000,047,3,036900,4912
Brooklyn,2000,047,3,037000,4062
Brooklyn,2000,047,3,037100,3982
Brooklyn,2000,047,3,037300,4199
Brooklyn,2000,047,3,037401,4384
Brooklyn,2000,047,3,037402,4827
Brooklyn,2000,047,3,037500,2831
Brooklyn,2000,047,3,037700,3827
Brooklyn,2000,047,3,037900,2827
Brooklyn,2000,047,3,038100,4849
Brooklyn,2000,047,3,038200,6161
Brooklyn,2000,047,3,038300,3999
Brooklyn,2000,047,3,038500,3628
Brooklyn,2000,047,3,038600,3377
Brooklyn,2000,047,3,038700,3581
Brooklyn,2000,047,3,038800,3804
Brooklyn,2000,047,3,038900,2287
Brooklyn,2000,047,3,039000,2192
Brooklyn,2000,047,3,039100,1467
Brooklyn,2000,047,3,039200,2789
Brooklyn,2000,047,3,039300,2800
Brooklyn,2000,047,3,039400,2526
Brooklyn,2000,047,3,039500,3636
Brooklyn,2000,047,3,039600,2030
Brooklyn,2000,047,3,039700,3237
Brooklyn,2000,047,3,039800,2391
Brooklyn,2000,047,3,039900,3777
Brooklyn,2000,047,3,040000,2948
Brooklyn,2000,047,3,040100,3157
Brooklyn,2000,047,3,040200,2564
Brooklyn,2000,047,3,040300,2981
Brooklyn,2000,047,3,040400,2109
Brooklyn,2000,047,3,040500,1335
Brooklyn,2000,047,3,040600,3089
Brooklyn,2000,047,3,040700,0
Brooklyn,2000,047,3,040800,2921
Brooklyn,2000,047,3,040900,3507
Brooklyn,2000,047,3,041000,1749
Brooklyn,2000,047,3,041100,2837
Brooklyn,2000,047,3,041200,2708
Brooklyn,2000,047,3,041300,3249
Brooklyn,2000,047,3,041401,1390
Brooklyn,2000,047,3,041402,1918
Brooklyn,2000,047,3,041500,3638
Brooklyn,2000,047,3,041600,2483
Brooklyn,2000,047,3,041700,3197
Brooklyn,2000,047,3,041800,2527
Brooklyn,2000,047,3,041900,3908
Brooklyn,2000,047,3,042000,2256
Brooklyn,2000,047,3,042100,3481
Brooklyn,2000,047,3,042200,3674
Brooklyn,2000,047,3,042300,2634
Brooklyn,2000,047,3,042400,3692
Brooklyn,2000,047,3,042500,2260
Brooklyn,2000,047,3,042600,3823
Brooklyn,2000,047,3,042700,5599
Brooklyn,2000,047,3,042800,3655
Brooklyn,2000,047,3,042900,5829
Brooklyn,2000,047,3,043000,3291
Brooklyn,2000,047,3,043100,5276
Brooklyn,2000,047,3,043200,3860
Brooklyn,2000,047,3,043300,3668
Brooklyn,2000,047,3,043400,3529
Brooklyn,2000,047,3,043500,4494
Brooklyn,2000,047,3,043600,4020
Brooklyn,2000,047,3,043700,5027
Brooklyn,2000,047,3,043800,2674
Brooklyn,2000,047,3,043900,3778
Brooklyn,2000,047,3,044000,2726
Brooklyn,2000,047,3,044100,5630
Brooklyn,2000,047,3,044200,2739
Brooklyn,2000,047,3,044300,5210
Brooklyn,2000,047,3,044400,3201
Brooklyn,2000,047,3,044500,4576
Brooklyn,2000,047,3,044600,1819
Brooklyn,2000,047,3,044700,1883
