ntacode,"<10,000","10,000-14,999","15,000-24,999","25,000-34,999","35,000-49,999","50,000-74,999","75,000-99,999","100,000-149,999","150,000-199,999",">200,000"
BX31,971.0,363.0,776.0,657.0,1135.0,1826.0,1079.0,1560.0,846.0,494.0
BX37,969.0,526.0,1231.0,1183.0,1319.0,1609.0,1151.0,1305.0,278.0,86.0
BX49,1053.0,713.0,1284.0,1090.0,1874.0,2098.0,1446.0,1199.0,460.0,147.0
BX03,1320.0,735.0,1257.0,1260.0,1704.0,2010.0,1430.0,1356.0,398.0,129.0
BX44,2625.0,1254.0,2631.0,2611.0,2761.0,3859.0,2088.0,1878.0,361.0,254.0
BX62,1069.0,762.0,1388.0,1826.0,1688.0,2728.0,2285.0,2356.0,669.0,357.0
BX99,55.0,33.0,74.0,28.0,100.0,86.0,49.0,38.0,3.0,16.0
MN23,1882.0,1011.0,2020.0,1728.0,2565.0,4998.0,3712.0,5715.0,3932.0,9655.0
MN24,1554.0,909.0,1023.0,1052.0,1321.0,2098.0,1394.0,2506.0,1568.0,5336.0
MN25,970.0,404.0,670.0,725.0,935.0,2125.0,1881.0,3340.0,2067.0,5814.0
MN22,2335.0,1122.0,1714.0,1583.0,1756.0,3608.0,2993.0,3260.0,1706.0,2229.0
MN27,2999.0,1656.0,2707.0,1911.0,1898.0,2530.0,1646.0,1467.0,632.0,661.0
MN28,5388.0,3649.0,4230.0,2924.0,2803.0,4035.0,1847.0,2676.0,958.0,1706.0
MN13,2720.0,1304.0,2857.0,2448.0,2743.0,4573.0,3613.0,5495.0,3533.0,9786.0
MN15,2068.0,1433.0,2128.0,2321.0,2246.0,3759.0,2696.0,3659.0,1649.0,3302.0
MN17,1398.0,770.0,857.0,834.0,1345.0,1082.0,859.0,2546.0,1773.0,4500.0
MN19,1302.0,504.0,1436.0,1251.0,1911.0,3136.0,3694.0,4849.0,2674.0,8337.0
MN20,1691.0,1042.0,1397.0,1086.0,2089.0,3638.0,2873.0,4706.0,2279.0,5372.0
MN21,1012.0,350.0,715.0,624.0,1093.0,2038.0,1744.0,2625.0,1810.0,2866.0
MN50,623.0,429.0,632.0,463.0,702.0,1320.0,1321.0,1960.0,1307.0,1724.0
MN12,5522.0,2752.0,3966.0,3753.0,5190.0,7957.0,6151.0,10206.0,6099.0,15345.0
MN14,1968.0,1254.0,1916.0,1414.0,1833.0,3518.0,3022.0,4479.0,3539.0,9226.0
MN31,2484.0,1184.0,1754.0,1926.0,3108.0,7284.0,4677.0,7513.0,3459.0,10126.0
MN32,2153.0,1170.0,3072.0,1942.0,3117.0,6778.0,5279.0,7047.0,4104.0,8951.0
MN40,1075.0,485.0,1030.0,1004.0,1312.0,2805.0,2538.0,4061.0,2853.0,11588.0
MN04,2821.0,1349.0,2420.0,2142.0,2667.0,2971.0,1600.0,1498.0,519.0,691.0
MN06,1745.0,958.0,1297.0,768.0,1188.0,1030.0,586.0,361.0,118.0,79.0
MN09,3309.0,983.0,2036.0,2012.0,1734.0,2485.0,1779.0,2229.0,1313.0,2286.0
MN03,5799.0,3101.0,4408.0,3727.0,4532.0,5138.0,2738.0,1837.0,921.0,1002.0
MN11,2949.0,1554.0,1746.0,1859.0,1814.0,2910.0,1609.0,2150.0,932.0,983.0
MN33,3248.0,2468.0,3041.0,2636.0,2443.0,3138.0,1721.0,2428.0,617.0,1134.0
MN34,4585.0,2669.0,3314.0,2425.0,2576.0,2917.0,1566.0,1312.0,390.0,429.0
MN01,1886.0,1389.0,2726.0,2223.0,2585.0,3144.0,1885.0,1515.0,475.0,340.0
MN35,2900.0,1667.0,3167.0,2763.0,3354.0,4035.0,3027.0,2585.0,1013.0,979.0
MN36,4447.0,2386.0,3907.0,3711.0,3928.0,4615.0,2817.0,2121.0,681.0,670.0
